"","year","plot","func_grp","avg_block","block_sd"
"1",2008,"CT","Bare ground",0.0443441666666667,0.0461029614920054
"2",2008,"CT","Deciduous shrubs",0.194220833333333,0.0463609763387629
"3",2008,"CT","Evergreen shrubs",0.243095,0.0191831591180911
"4",2008,"CT","Forb",0.036715,0.00575691377823222
"5",2008,"CT","Grass",0.0398216666666667,0.00957873208380594
"6",2008,"CT","Lichen",0.0417516666666667,0.00757078980908421
"7",2008,"CT","Litter",0.120539166666667,0.0252795290617395
"8",2008,"CT","Moss",0.121270833333333,0.0424699029706136
"9",2008,"CT","Sedge",0.138545833333333,0.0151387273105546
"10",2008,"CT","Standing dead",0.0130808333333333,0.00572856293788707
"11",2008,"F10","Bare ground",0.0223266666666667,0.0106109248929268
"12",2008,"F10","Deciduous shrubs",0.2395275,0.030245788549813
"13",2008,"F10","Evergreen shrubs",0.216565,0.0274987375846601
"14",2008,"F10","Forb",0.0755433333333333,0.0257729194520786
"15",2008,"F10","Grass",0.0681408333333333,0.0367509681278376
"16",2008,"F10","Lichen",0.0311841666666667,0.0139908220660308
"17",2008,"F10","Litter",0.0637158333333333,0.00870838759951194
"18",2008,"F10","Moss",0.0285858333333333,0.0103076344077258
"19",2008,"F10","Sedge",0.250635,0.0513338030078622
"20",2008,"F10","Standing dead",0.00377416666666667,0.0012281524063948
"21",2008,"F2","Bare ground",0.02940625,0.011248301121725
"22",2008,"F2","Deciduous shrubs",0.180775,0.0713465004835556
"23",2008,"F2","Evergreen shrubs",0.3186075,0.0782607578866957
"24",2008,"F2","Forb",0.06062,0.0305233151664428
"25",2008,"F2","Grass",0.049865,0.033068969688365
"26",2008,"F2","Lichen",0.0341025,0.0222169787268656
"27",2008,"F2","Litter",0.104355833333333,0.0136639293244415
"28",2008,"F2","Moss",0.113464166666667,0.030858736337273
"29",2008,"F2","Sedge",0.1118875,0.0569849162607966
"30",2008,"F2","Standing dead",0.0072325,0.00353906943983867
"31",2008,"F5","Bare ground",0.0361991666666667,0.00703932096038626
"32",2008,"F5","Deciduous shrubs",0.172130833333333,0.0601482950887499
"33",2008,"F5","Evergreen shrubs",0.298894166666667,0.015278640387264
"34",2008,"F5","Forb",0.0625525,0.0383354057139089
"35",2008,"F5","Grass",0.0496608333333333,0.0086789289853837
"36",2008,"F5","Lichen",0.02681,0.00483356299741712
"37",2008,"F5","Litter",0.0969875,0.0260140835654459
"38",2008,"F5","Moss",0.0627341666666667,0.00800454649454505
"39",2008,"F5","Sedge",0.186865,0.0551253587289915
"40",2008,"F5","Standing dead",0.00753875,0.00719657926552609
"41",2010,"CT","Bare ground",0.008875,0.00745402575793779
"42",2010,"CT","Deciduous shrubs",0.21925,0.0186878135425202
"43",2010,"CT","Evergreen shrubs",0.252041666666667,0.029715403553264
"44",2010,"CT","Forb",0.03425,0.0328833164385833
"45",2010,"CT","Grass",0.0504583333333333,0.0101952296851681
"46",2010,"CT","Lichen",0.0854166666666667,0.0174222977340342
"47",2010,"CT","Litter",0.06375,0.00397452827389617
"48",2010,"CT","Moss",0.155,0.027167305718455
"49",2010,"CT","Sedge",0.127416666666667,0.0100010416124188
"50",2010,"CT","Standing dead",0.00325,0.00243349029174147
"51",2010,"F10","Bare ground",0.00308333333333333,0.00144337567297406
"52",2010,"F10","Deciduous shrubs",0.330125,0.0709481544862162
"53",2010,"F10","Evergreen shrubs",0.172708333333333,0.0285887689195134
"54",2010,"F10","Forb",0.129208333333333,0.0133944562537392
"55",2010,"F10","Grass",0.0715,0.0389356440167618
"56",2010,"F10","Lichen",0.0129166666666667,0.00950438495292217
"57",2010,"F10","Litter",0.065,0.00504510901765264
"58",2010,"F10","Moss",0.0281666666666667,0.0125102041683313
"59",2010,"F10","Sedge",0.187416666666667,0.023502770226791
"60",2010,"F10","Standing dead",0.000625,NA
"61",2010,"F5","Bare ground",0.007375,0.00593848676010985
